timestamp,name,tweet,retweetCnt,hastags,urlsCnt,mentionsCnt
Tue Oct 28 20:36:05 +0000 2014,Sammy_Bananas,Absolutely beautiful,{},[],0,0
,,{},{},{},0,0
Tue Oct 28 20:36:28 +0000 2014,BobayConner,New vine in less than 15 minutes :),{},[],0,0
Tue Oct 28 20:36:35 +0000 2014,Elyanamahone7,RT @BobayConner: New vine in less than 15 minutes :),2,[],0,1
Tue Oct 28 20:36:40 +0000 2014,lexus__cay,RT @BobayConner: New vine in less than 15 minutes :),3,[],0,1
Tue Oct 28 20:36:41 +0000 2014,mbearor1,RT @BobayConner: New vine in less than 15 minutes :),4,[],0,1
Tue Oct 28 20:36:42 +0000 2014,AshleyHalea1,@BobayConner yay ☺️,{},[],0,1
Tue Oct 28 20:36:48 +0000 2014,BridgeteTaylor,A real friend is one who walks in when the rest of the world walks out. ~Walter Winchell,{},[],0,0
Tue Oct 28 20:36:51 +0000 2014,MateoCaicedoR,"@RJSzczerba Still waiting on the day when I log in &amp; scream my lungs out seeing you on my followers list, follow me please :'(",{},[],0,1
Tue Oct 28 20:36:56 +0000 2014,WKT75,RT @cthagod: DC will never Fuck with Marvel.,162,[],0,1
Tue Oct 28 20:37:19 +0000 2014,SkyeTaylor_11,RT @BobayConner: New vine in less than 15 minutes :),9,[],0,1
Tue Oct 28 20:37:31 +0000 2014,Bdro1,Check out Samsung Galaxy Note III SM-N900A 32GB - White (AT&amp;T) Smartphone With Extras! http://t.co/1bF3yDOhSy @eBay #samsung,{},"[{u'indices': [120, 128], u'text': u'samsung'}]",1,1
Tue Oct 28 20:37:48 +0000 2014,LouisHosinski,"RT @KonoDaGoat: Dykes when ""We Dem Boyz"" comes on http://t.co/5ZozHLiyq7",278,[],0,1
Tue Oct 28 20:38:07 +0000 2014,stylesexpistols,@BobayConner follow me babe lysm,{},[],0,1
Tue Oct 28 20:38:12 +0000 2014,newtechnetwork,The New Tech Network Daily is out! http://t.co/0iZ4WsEwWJ Stories via @fasterarkansas,{},[],1,1
,,{},{},{},0,0
Tue Oct 28 20:38:18 +0000 2014,kaitlin_port,@BobayConner I can't wait I love your vines!! 😊,{},[],0,1
Tue Oct 28 20:38:58 +0000 2014,cassie_yoder,@jennwise2 http://t.co/B9vab71PrS,{},[],0,1
Tue Oct 28 20:39:01 +0000 2014,ZacFrame12,"""@iNeedTreez: When you know you just rolled a pearl 👊😎🍁 http://t.co/1SuyCfdipW"" every time👌",{},[],0,1
Tue Oct 28 20:39:05 +0000 2014,Its_Cobra13,@andy_linds I'm glad there was no naughties on the bathroom door handle lmao,{},[],0,1
Tue Oct 28 20:40:17 +0000 2014,haleymh14,@BobayConner me,{},[],0,1
Tue Oct 28 20:40:21 +0000 2014,momiamhereapp,This days with so much going on you need to have something to help you remind you that you have your baby on the Car Seat.,{},[],0,0
Tue Oct 28 20:40:29 +0000 2014,FuckyeahAaronC,@AaronCarpenter Are you gonna call they police on them or do something,{},[],0,1
Tue Oct 28 20:40:33 +0000 2014,pydluke,@BigPermRadio im going to college soon and really want to be a radio host like you! how do I pursue this career?,{},[],0,1
Tue Oct 28 20:40:37 +0000 2014,zaibatsu,There is nothing wrong with you. Love just didn't choose to rest in the other person's heart.,{},[],0,0
Tue Oct 28 20:40:44 +0000 2014,ZaibatsuPlanet,"RT @zaibatsu: Dine with sharks, drink wine in an ancient tree at Africa's most unusual restaurants http://t.co/QbTx1Tz8m0 http://t.co/l5ESK…",36,[],1,1
Tue Oct 28 20:40:47 +0000 2014,ChrisWMenzel,"RT @zaibatsu: ""Intuition will tell the thinking mind where to look next."" - Jonas Salk",12,[],0,1
Tue Oct 28 20:41:13 +0000 2014,zaibatsu,Science-Backed Secrets to Being Happier at Work http://t.co/jKcl9apAaq http://t.co/fgjjopYJgw,{},[],1,0
Tue Oct 28 20:41:27 +0000 2014,becca_molnar,RT @BobayConner: New vine in less than 15 minutes :),11,[],0,1
Tue Oct 28 20:41:31 +0000 2014,MorrisPAC,RT @JimBrickman: The *new* #OnAWintersNight Songbooks shipped this week! Have you ordered your copy yet? http://t.co/sqdsGGlBCG http://t.co…,1,"[{u'indices': [27, 43], u'text': u'OnAWintersNight'}]",1,1
Tue Oct 28 20:41:48 +0000 2014,xKayzee,RT @zaibatsu: There is nothing wrong with you. Love just didn't choose to rest in the other person's heart.,2,[],0,1
Tue Oct 28 20:42:04 +0000 2014,pinkbunny70,RT @zaibatsu: Science-Backed Secrets to Being Happier at Work http://t.co/jKcl9apAaq http://t.co/fgjjopYJgw,2,[],1,1
Tue Oct 28 20:42:29 +0000 2014,HelloKerri,Oh man. I love my family. This is what i really needed 💙,{},[],0,0
Tue Oct 28 20:42:32 +0000 2014,kenazsolange_,RT @BobayConner: New vine in less than 15 minutes :),12,[],0,1
Tue Oct 28 20:42:45 +0000 2014,momiamhereapp,There are lots of items out there but Apps they are the ultimate since you always carry your cell phone with you. Try mom i am here today!!,{},[],0,0
Tue Oct 28 20:43:14 +0000 2014,ilovemeganellis,it's supposed to snow friday😍😍😍,{},[],0,0
Tue Oct 28 20:43:18 +0000 2014,sarahn721,Cop Threatens to ‘Beat the Shit Out of’ Teen for Looking Him in the Eye http://t.co/FSW9xoEog9 via @Theantimedia1,{},[],1,1
Tue Oct 28 20:43:20 +0000 2014,janetsky76,RT @zaibatsu: There is nothing wrong with you. Love just didn't choose to rest in the other person's heart.,4,[],0,1
Tue Oct 28 20:43:29 +0000 2014,BobayConner,Who wants to see a new vine today :),{},[],0,0
Tue Oct 28 20:43:29 +0000 2014,ilovemeganellis,hype af to board this season,{},[],0,0
Tue Oct 28 20:43:37 +0000 2014,Emily_marisol_,RT @BobayConner: Who wants to see a new vine today :),2,[],0,1
Tue Oct 28 20:43:41 +0000 2014,alanna_bryant,@BobayConner mee,{},[],0,1
Tue Oct 28 20:43:52 +0000 2014,Queen_Mahomie14,@BobayConner ME!💁👏💯,{},[],0,1
Tue Oct 28 20:43:54 +0000 2014,keepingitrayna,@BobayConner i do,{},[],0,1
Tue Oct 28 20:43:54 +0000 2014,alyanaenemuohh,@BobayConner bruh i got my tooth pulled today so yas,{},[],0,1
Tue Oct 28 20:43:55 +0000 2014,dexter_xt,RT @Sherrlocckk: Facebook Vs Twitter http://t.co/lEIl21EEWv http://t.co/W3nq9yoUKX,5,[],1,1
Tue Oct 28 20:44:08 +0000 2014,lexi_v52,RT @BobayConner: Who wants to see a new vine today :),8,[],0,1
Tue Oct 28 20:44:16 +0000 2014,kellyeronan,RT @meganmakowski16: Help unlock this special sneak peak from Sunday by following @amyreinertphoto !!! You won't wanna miss… http://t.co/hz…,1,[],1,2
Tue Oct 28 20:44:18 +0000 2014,rhoward_TGN,@akmccarthy @MikeMillerHT @HebrewHammer9 @WIUXUnderLights I can't wait to hear this discussion.,{},[],0,4
Tue Oct 28 20:44:18 +0000 2014,NEFirebuff,RT @Scott4399: On scene in Chelsea at cvs http://t.co/NGXtOhuTle,2,[],0,1
Tue Oct 28 20:44:23 +0000 2014,Kid67y,"@jeff_gluck Kyle likes to play the bad guy and ""bow"" to the crowd &amp; rub his eyes like ""boo hoo"" to the fans. Typical whine ass Kyle.",{},[],0,1
,,{},{},{},0,0
Tue Oct 28 20:44:44 +0000 2014,kaitlin_port,RT @BobayConner: Who wants to see a new vine today :),9,[],0,1
Tue Oct 28 20:45:01 +0000 2014,GaryBlevins77,RT @_paigeypoooo: Crazy how some people think these days. 😅,1,[],0,1
Tue Oct 28 20:45:02 +0000 2014,BridgeteTaylor,"Watermelon is low in calories, sweet, flavoursome, healthy and delicious. Takes some beating!",{},[],0,0
Tue Oct 28 20:45:03 +0000 2014,PayProTec,#Yelp is looking to move out and do hotel bookings! http://t.co/zDvOaSyVrN via @pymnts,{},"[{u'indices': [0, 5], u'text': u'Yelp'}]",1,1
Tue Oct 28 20:45:06 +0000 2014,manujarch,RT @zaibatsu: Science-Backed Secrets to Being Happier at Work http://t.co/jKcl9apAaq http://t.co/fgjjopYJgw,6,[],1,1
Tue Oct 28 20:45:13 +0000 2014,TeenMindRocks,"""Start everyday with a new hope, leave bad memories behind and have faith for a better tomorrow.""",{},[],0,0
Tue Oct 28 20:45:26 +0000 2014,erichgrimske1,"Give a fuck about ya squad boi 

Give a fuck about ya mob boi",{},[],0,0
,,{},{},{},0,0
,,{},{},{},0,0
Tue Oct 28 20:47:59 +0000 2014,wind4me,"RT @TWCNewsBuffalo: Photo: Large #fire on Howard Street #Buffalo

Updates here: http://t.co/jT8dC0NmIb http://t.co/044YHTsMjm",9,"[{u'indices': [33, 38], u'text': u'fire'}, {u'indices': [56, 64], u'text': u'Buffalo'}]",1,1
,,{},{},{},0,0
Tue Oct 28 20:48:16 +0000 2014,ellenguild21,RT @Timeflies: tuesday.,158,[],0,1
Tue Oct 28 20:48:39 +0000 2014,MadelynSage,"RT @trapecal: I act like I don't care 
but deep down I really fucking care",1546,[],0,1
Tue Oct 28 20:48:40 +0000 2014,dparrishcbs2,RT @TheDePaulia: Remember those “Fear the D” shirts? One group is putting a new twist on them http://t.co/Vpc0J2Yinp http://t.co/xDSHVAjYQk,9,[],1,1
,,{},{},{},0,0
Tue Oct 28 20:48:42 +0000 2014,pfrancesevic1,RT @BobayConner: Who wants to see a new vine today :),12,[],0,1
