id,created_at,text,retweet_count,ent_urls,ent_hashtags,ent_mentions,favorite_count,in_reply_to_status_id
537137565930119169,Tue Nov 25 06:55:49 +0000 2014,RT @_Breaking_Brad: First @IndianaMBB game at Assembly Hall with @Tyler_Miller98 and @king_rrillo #GoHoosiers,1,[],"[{u'indices': [98, 109], u'text': u'GoHoosiers'}]","[{u'id': 30356247, u'indices': [3, 18], u'id_str': u'30356247', u'screen_name': u'_Breaking_Brad', u'name': u'B-Rad'}, {u'id': 791598918, u'indices': [26, 37], u'id_str': u'791598918', u'screen_name': u'IndianaMBB', u'name': u'IndianaMBB'}, {u'id': 465964363, u'indices': [65, 80], u'id_str': u'465964363', u'screen_name': u'Tyler_Miller98', u'name': u'Tmillz'}, {u'id': 168790184, u'indices': [85, 97], u'id_str': u'168790184', u'screen_name': u'king_rrillo', u'name': u'king rillo'}]",0,
536711548513689600,Mon Nov 24 02:42:59 +0000 2014,I'm done,0,[],[],[],0,
536710073309876224,Mon Nov 24 02:37:07 +0000 2014,😅😎 I used to think you were gay before I met you but you're cool af 😂😈😎,0,[],[],[],0,
536709287943221248,Mon Nov 24 02:34:00 +0000 2014,RT @D_Jay24: Love my team 🍀 #GoIrish,16,[],"[{u'indices': [28, 36], u'text': u'GoIrish'}]","[{u'id': 205542307, u'indices': [3, 11], u'id_str': u'205542307', u'screen_name': u'D_Jay24', u'name': u'Demetrius Jackson'}]",0,
536709197203636224,Mon Nov 24 02:33:38 +0000 2014,RT @SportsCenter: ODELL BECKHAM JR. ARE YOU FOR REAL?!?!? Catch of the year candidate is instant #SCtop10 material.,14597,[],"[{u'indices': [97, 105], u'text': u'SCtop10'}]","[{u'id': 26257166, u'indices': [3, 16], u'id_str': u'26257166', u'screen_name': u'SportsCenter', u'name': u'SportsCenter'}]",0,
533064610019295232,Fri Nov 14 01:11:21 +0000 2014,"❤ Mis tesoros 😚
#AmorDelBueno #AmorUncondisional http://t.co/rK87xLWh2T",0,"[{u'url': u'http://t.co/rK87xLWh2T', u'indices': [49, 71], u'expanded_url': u'http://instagram.com/p/vXHlXMQsVQ/', u'display_url': u'instagram.com/p/vXHlXMQsVQ/'}]","[{u'indices': [16, 29], u'text': u'AmorDelBueno'}, {u'indices': [30, 48], u'text': u'AmorUncondisional'}]",[],0,
528211853902884865,Fri Oct 31 15:48:14 +0000 2014,@befunky Thank you!!! 👻🎃😉,0,[],[],"[{u'id': 15273529, u'indices': [0, 8], u'id_str': u'15273529', u'screen_name': u'befunky', u'name': u'BeFunky'}]",1,528211201348878336
528210910352244736,Fri Oct 31 15:44:29 +0000 2014,Trying to :) @candace_paez,0,[],[],"[{u'id': 23770315, u'indices': [13, 26], u'id_str': u'23770315', u'screen_name': u'candace_paez', u'name': u'Candace Paez'}]",1,
528207277941997568,Fri Oct 31 15:30:03 +0000 2014,#HappyHolloween 👻💀🎃 via #BeFunky http://t.co/TgLI49nyKg,1,[],"[{u'indices': [0, 15], u'text': u'HappyHolloween'}, {u'indices': [24, 32], u'text': u'BeFunky'}]",[],1,
527839226985844738,Thu Oct 30 15:07:33 +0000 2014,♡ My little Princess 👸 😚 http://t.co/1rAeDtjyy0,0,"[{u'url': u'http://t.co/1rAeDtjyy0', u'indices': [25, 47], u'expanded_url': u'http://instagram.com/p/ux_WnxwsYp/', u'display_url': u'instagram.com/p/ux_WnxwsYp/'}]",[],[],1,
520728465260417024,Sat Oct 11 00:11:55 +0000 2014,"feeling like dancing now 😉 – Fireball by Pitbull, from #SoundHound http://t.co/rDxjUIZG0Z",0,"[{u'url': u'http://t.co/rDxjUIZG0Z', u'indices': [67, 89], u'expanded_url': u'http://soundhound.com/?t=100625095332507044', u'display_url': u'soundhound.com/?t=10062509533\u2026'}]","[{u'indices': [55, 66], u'text': u'SoundHound'}]",[],1,
496780824566837248,Tue Aug 05 22:12:32 +0000 2014,"The love between sisters is forever. 
Happy Birthday Vane -n- Myah
Love you so much punkie pies… http://t.co/qaI7Er7WIl",0,"[{u'url': u'http://t.co/qaI7Er7WIl', u'indices': [97, 119], u'expanded_url': u'http://instagram.com/p/rVJEfEQsSY/', u'display_url': u'instagram.com/p/rVJEfEQsSY/'}]",[],[],0,
494507800995696641,Wed Jul 30 15:40:21 +0000 2014,"If you truly love someone, being faithful is easy.  #RealLove",0,[],"[{u'indices': [52, 61], u'text': u'RealLove'}]",[],1,
494325088125059072,Wed Jul 30 03:34:19 +0000 2014,RT @femalebook: I still remember how we started talking,2728,[],[],"[{u'id': 581494085, u'indices': [3, 14], u'id_str': u'581494085', u'screen_name': u'femalebook', u'name': u'can u not '}]",0,
494325051752083457,Wed Jul 30 03:34:11 +0000 2014,"RT @JKingArthur: Mientras muchos hombres cuentan aventuras que nunca tuvieron, algunas mujeres tienen aventuras que nunca contaran.",1674,[],[],"[{u'id': 99367508, u'indices': [3, 15], u'id_str': u'99367508', u'screen_name': u'JKingArthur', u'name': u'\u265c K i \u03b7 g'}]",0,
